# Timing measurements on the chain-geometry for the second order perturbation theory
n,flip can,flip opt,double flip can,double flip opt,swap can,swap opt
5,167.89990234375,84.71826171875,503.28857421875,332.49365234375,166.0380859375,135.22509765625
10,352.348388671875,96.163330078125,1056.350341796875,384.10888671875,374.9609375,174.012451171875
15,550.224609375,102.72314453125,1656.556640625,405.33251953125,596.293212890625,191.74560546875
20,725.691650390625,103.631103515625,2163.386962890625,413.80078125,736.95263671875,177.84765625
25,908.363525390625,104.322509765625,2713.944091796875,411.8310546875,912.863525390625,177.906982421875
30,1132.506591796875,111.6767578125,3400.88525390625,444.497314453125,1141.772216796875,191.730712890625
35,1273.813232421875,108.03515625,3826.426025390625,426.28759765625,1293.890625,188.6298828125
40,1466.13818359375,107.13427734375,4380.54638671875,428.630126953125,1403.84033203125,174.12890625
45,1654.22265625,108.32763671875,4941.35400390625,431.81494140625,1674.293212890625,187.65576171875
50,1833.803466796875,110.39453125,5486.81103515625,430.137939453125,1801.647216796875,183.08056640625
55,2020.69384765625,108.259033203125,6065.99951171875,425.976318359375,2133.169921875,196.208740234375
60,2201.56787109375,107.90625,6596.04638671875,431.217529296875,2230.6083984375,187.158935546875
65,2378.8994140625,106.546630859375,7129.39453125,419.09619140625,2281.30908203125,176.153564453125
70,2556.2529296875,110.158447265625,7674.685546875,438.97607421875,2494.138427734375,182.87646484375
75,2822.918212890625,115.158935546875,8469.416259765625,448.414794921875,2686.045166015625,185.125244140625
80,2994.57080078125,111.1689453125,9009.348388671875,445.419677734375,3232.759765625,205.1201171875
85,3109.027587890625,109.14013671875,9329.61474609375,436.62939453125,3002.09765625,184.121826171875
90,3278.375244140625,109.801025390625,9825.6416015625,426.76220703125,3143.443603515625,180.63720703125
95,3486.1064453125,109.9443359375,10437.28759765625,436.185791015625,3175.287353515625,167.65234375
100,3705.481689453125,110.273193359375,11093.339599609375,431.07861328125,3626.22314453125,184.160400390625
105,3906.40673828125,110.800048828125,11691.743896484375,433.4951171875,4059.13671875,195.466796875
110,4067.574462890625,109.82421875,12233.46728515625,433.150634765625,4293.41259765625,198.705322265625
115,4326.619140625,110.94482421875,12970.00146484375,446.4580078125,4207.537353515625,181.0703125
120,4409.14306640625,109.521240234375,13234.41845703125,430.566162109375,4399.099609375,187.16845703125
125,4585.38916015625,108.90673828125,13735.7236328125,428.142822265625,4488.74853515625,184.5703125
130,4807.244873046875,111.105712890625,14424.60546875,437.8955078125,5019.932373046875,197.9873046875
135,4999.219970703125,109.9599609375,14990.768798828125,435.0341796875,4959.943115234375,188.406005859375
140,5227.646484375,111.52734375,15764.532958984375,443.322509765625,5223.1669921875,189.341064453125
145,5416.68017578125,112.291015625,16207.355712890625,445.621337890625,5096.250732421875,182.984130859375
150,5581.518310546875,111.0439453125,16825.7421875,441.504638671875,5587.0185546875,189.257080078125
155,5757.729248046875,111.007568359375,17222.787109375,443.178955078125,6031.152587890625,198.0849609375
160,5920.679931640625,111.4453125,17785.905029296875,440.005859375,5848.62890625,188.715576171875
165,6160.4130859375,111.069091796875,18460.220458984375,442.678955078125,6306.391357421875,194.370849609375
170,6307.685546875,111.381103515625,18967.05322265625,446.58447265625,5943.799560546875,180.948486328125
175,6537.30029296875,113.966552734375,19617.214111328125,451.53662109375,6795.232177734375,197.571533203125
180,6820.49755859375,113.530029296875,20477.579345703125,447.92236328125,6979.880126953125,195.920166015625
185,6882.382080078125,111.802978515625,20726.88330078125,445.969482421875,7194.10400390625,200.038330078125
190,7045.08642578125,111.263427734375,21167.677490234375,449.634521484375,7152.107177734375,194.208251953125
195,7301.90185546875,112.820556640625,21873.1083984375,442.451904296875,7347.80224609375,194.014404296875
200,7509.724853515625,114.02783203125,22463.6171875,447.186279296875,7964.07958984375,206.4267578125
205,7691.18408203125,112.58984375,22943.289306640625,445.673095703125,7423.010498046875,185.5478515625
210,7877.3251953125,112.19140625,23624.25146484375,440.086669921875,7527.927490234375,183.6591796875
215,8147.84326171875,114.45849609375,24400.4140625,453.43212890625,7614.1220703125,181.646728515625
220,8251.364013671875,111.824951171875,24788.9013671875,451.376953125,8702.68701171875,204.184814453125
225,8339.412109375,111.269287109375,25120.289306640625,446.862548828125,8543.8466796875,197.81201171875
