# Timing measurements on the square-geometry for the first order perturbation theory
n,flip can,flip opt,double flip can,double flip opt,swap can,swap opt
3,69.2900390625,7.14892578125,206.0244140625,29.289306640625,70.23828125,11.6435546875
4,127.83203125,7.93505859375,378.7548828125,32.34912109375,127.525146484375,13.24755859375
5,186.64404296875,7.693359375,556.744873046875,31.2080078125,200.50244140625,13.6005859375
6,267.85302734375,7.8798828125,802.486328125,31.662109375,264.389892578125,13.041015625
7,364.0419921875,8.021728515625,1091.06689453125,31.642822265625,388.315185546875,14.0380859375
8,481.2763671875,8.28955078125,1439.492431640625,32.97607421875,496.309326171875,14.11962890625
9,642.474853515625,8.935302734375,1921.091796875,35.82568359375,629.596435546875,14.67333984375
10,768.27978515625,8.51513671875,2301.59912109375,34.582275390625,741.907470703125,13.816162109375
11,1011.31640625,9.821533203125,3015.84716796875,38.724365234375,1037.5576171875,16.827880859375
12,1188.336669921875,9.732666015625,3523.820068359375,37.9970703125,1215.6669921875,16.163818359375
13,1306.685791015625,9.051513671875,3915.55908203125,35.7197265625,1299.807861328125,14.745361328125
14,1495.505859375,8.80029296875,4475.732177734375,34.638427734375,1528.090087890625,14.957275390625
