# Timing measurements on the square-geometry for the second order perturbation theory
n,flip can,flip opt,double flip can,double flip opt,swap can,swap opt
3,666.605224609375,227.72900390625,1998.41357421875,952.67041015625,647.3984375,396.578369140625
4,1533.76171875,302.9130859375,4561.779052734375,1257.75927734375,1491.2177734375,544.93017578125
5,2539.002197265625,327.775146484375,7589.439208984375,1390.9169921875,2689.128173828125,621.667724609375
6,3867.53759765625,355.170166015625,11589.99169921875,1507.38525390625,3827.37353515625,646.529296875
7,5554.75634765625,371.97216796875,16674.368896484375,1560.388916015625,5904.089111328125,716.783447265625
8,7562.001708984375,393.21875,22552.8798828125,1671.276123046875,7776.147705078125,746.114990234375
9,10357.738037109375,420.77001953125,31181.54150390625,1830.378662109375,10091.28271484375,768.597412109375
10,12833.2802734375,420.12255859375,38284.551513671875,1794.016845703125,12245.50732421875,733.703125
11,17029.536376953125,451.424072265625,51226.5283203125,1932.055419921875,17369.573974609375,859.623779296875
12,20143.166259765625,459.579833984375,60457.11279296875,1963.702880859375,20606.67626953125,878.991943359375
13,22629.6689453125,443.201904296875,67508.083984375,1884.3193359375,22469.474853515625,819.05810546875
14,26248.612548828125,447.803955078125,78742.77124023438,1903.017333984375,26857.502685546875,843.96044921875
15,33503.9453125,497.18505859375,101337.6689453125,2133.11669921875,32927.25048828125,917.4287109375
