# Timing measurements on the square-geometry for the first order perturbation theory
n,flip can,flip opt,double flip can,double flip opt,swap can,swap opt
3,214.827880859375,51.27197265625,214.620849609375,90.3466796875,215.42724609375,43.96630859375
4,452.14306640625,60.90576171875,452.418701171875,109.876953125,452.40869140625,61.061279296875
5,672.197021484375,58.453125,674.574951171875,108.487060546875,677.285400390625,57.52978515625
6,984.07666015625,59.640869140625,984.10693359375,109.3349609375,980.483642578125,53.54833984375
7,1340.368408203125,58.305419921875,1330.801513671875,109.574951171875,1330.465087890625,57.639404296875
8,1914.06298828125,65.428955078125,1915.51611328125,122.20849609375,1914.58740234375,61.30419921875
9,2284.47021484375,61.633544921875,2277.335205078125,115.091796875,2290.6806640625,64.07470703125
10,2706.578369140625,58.759521484375,2707.2236328125,109.308349609375,2703.959228515625,54.00146484375
11,3321.98095703125,60.001953125,3312.796875,111.32177734375,3312.366943359375,57.5263671875
12,4042.749267578125,60.42138671875,4048.733154296875,114.0107421875,4039.72607421875,60.551025390625
13,5026.79833984375,66.076416015625,5034.08203125,121.1494140625,5047.376953125,65.005126953125
14,5585.575439453125,62.635009765625,5570.6669921875,117.147705078125,5553.52783203125,57.682373046875
